Temp,Flow,site_no,datetime,Precipitation,GageHeight
78.3,0.00,09424900,2018-07-22 00:00,0.00,0.02
77.0,0.00,09424900,2018-07-22 00:15,0.00,0.02
77.6,0.00,09424900,2018-07-22 00:30,0.00,0.02
77.5,0.00,09424900,2018-07-22 00:45,0.00,0.02
77.7,0.00,09424900,2018-07-22 01:00,0.00,0.02
78.2,0.00,09424900,2018-07-22 01:15,0.00,0.02
77.2,0.00,09424900,2018-07-22 01:30,0.00,0.02
77.5,0.00,09424900,2018-07-22 01:45,0.00,0.02
76.3,0.00,09424900,2018-07-22 02:00,0.00,0.01
77.3,0.00,09424900,2018-07-22 02:15,0.00,0.01
78.5,0.00,09424900,2018-07-22 02:30,0.00,0.01
77.2,0.00,09424900,2018-07-22 02:45,0.00,0.01
76.8,0.00,09424900,2018-07-22 03:00,0.00,0.01
75.3,0.00,09424900,2018-07-22 03:15,0.00,0.01
75.1,0.00,09424900,2018-07-22 03:30,0.00,0.01
74.9,0.00,09424900,2018-07-22 03:45,0.00,0.01
74.0,0.00,09424900,2018-07-22 04:00,0.00,0.01
73.9,0.00,09424900,2018-07-22 04:15,0.00,0.01
73.7,0.00,09424900,2018-07-22 04:30,0.00,0.01
73.2,0.00,09424900,2018-07-22 04:45,0.00,0.01
73.1,0.00,09424900,2018-07-22 05:00,0.00,0.01
73.0,0.00,09424900,2018-07-22 05:15,0.00,0.01
73.2,0.00,09424900,2018-07-22 05:30,0.00,0.01
72.9,0.00,09424900,2018-07-22 05:45,0.00,0.01
72.7,0.00,09424900,2018-07-22 06:00,0.00,0.01
73.3,0.00,09424900,2018-07-22 06:15,0.00,0.01
76.1,0.00,09424900,2018-07-22 06:30,0.00,0.01
80.0,0.00,09424900,2018-07-22 06:45,0.00,0.01
80.4,0.00,09424900,2018-07-22 07:00,0.00,0.02
78.6,0.00,09424900,2018-07-22 07:15,0.00,0.02
80.0,0.00,09424900,2018-07-22 07:30,0.00,0.02
81.5,0.00,09424900,2018-07-22 07:45,0.00,0.02
83.6,0.00,09424900,2018-07-22 08:00,0.00,0.02
83.8,0.00,09424900,2018-07-22 08:15,0.00,0.02
84.5,0.00,09424900,2018-07-22 08:30,0.00,0.02
85.9,0.00,09424900,2018-07-22 08:45,0.00,0.02
87.2,0.00,09424900,2018-07-22 09:00,0.00,0.02
88.2,0.00,09424900,2018-07-22 09:15,0.00,0.02
89.2,0.00,09424900,2018-07-22 09:30,0.00,0.02
90.2,0.00,09424900,2018-07-22 09:45,0.00,0.02
91.0,0.00,09424900,2018-07-22 10:00,0.00,0.02
93.1,0.00,09424900,2018-07-22 10:15,0.00,0.02
94.5,0.00,09424900,2018-07-22 10:30,0.00,0.02
93.4,0.00,09424900,2018-07-22 10:45,0.00,0.02
96.2,0.00,09424900,2018-07-22 11:00,0.00,0.02
95.8,0.00,09424900,2018-07-22 11:15,0.00,0.02
97.0,0.00,09424900,2018-07-22 11:30,0.00,0.02
97.6,0.00,09424900,2018-07-22 11:45,0.00,0.02
98.4,0.00,09424900,2018-07-22 12:00,0.00,0.02
98.1,0.00,09424900,2018-07-22 12:15,0.00,0.02
98.8,0.00,09424900,2018-07-22 12:30,0.00,0.02
99.2,0.00,09424900,2018-07-22 12:45,0.00,0.02
99.9,0.00,09424900,2018-07-22 13:00,0.00,0.02
100.9,0.00,09424900,2018-07-22 13:15,0.00,0.02
102.0,0.00,09424900,2018-07-22 13:30,0.00,0.02
102.1,0.00,09424900,2018-07-22 13:45,0.00,0.02
103.8,0.00,09424900,2018-07-22 14:00,0.00,0.02
102.8,0.00,09424900,2018-07-22 14:15,0.00,0.02
103.9,0.00,09424900,2018-07-22 14:30,0.00,0.02
104.1,0.00,09424900,2018-07-22 14:45,0.00,0.02
105.0,0.00,09424900,2018-07-22 15:00,0.00,0.02
103.8,0.00,09424900,2018-07-22 15:15,0.00,0.02
104.2,0.00,09424900,2018-07-22 15:30,0.00,0.02
104.6,0.00,09424900,2018-07-22 15:45,0.00,0.02
104.2,0.00,09424900,2018-07-22 16:00,0.00,0.02
104.6,0.00,09424900,2018-07-22 16:15,0.00,0.02
105.5,0.00,09424900,2018-07-22 16:30,0.00,0.02
104.9,0.00,09424900,2018-07-22 16:45,0.00,0.02
104.6,0.00,09424900,2018-07-22 17:00,0.00,0.02
105.4,0.00,09424900,2018-07-22 17:15,0.00,0.02
104.4,0.00,09424900,2018-07-22 17:30,0.00,0.02
104.9,0.00,09424900,2018-07-22 17:45,0.00,0.02
104.1,0.00,09424900,2018-07-22 18:00,0.00,0.02
103.9,0.00,09424900,2018-07-22 18:15,0.00,0.02
103.5,0.00,09424900,2018-07-22 18:30,0.00,0.02
102.8,0.00,09424900,2018-07-22 18:45,0.00,0.02
102.1,0.00,09424900,2018-07-22 19:00,0.00,0.02
101.1,0.00,09424900,2018-07-22 19:15,0.00,0.02
100.6,0.00,09424900,2018-07-22 19:30,0.00,0.02
99.7,0.00,09424900,2018-07-22 19:45,0.00,0.02
97.9,0.00,09424900,2018-07-22 20:00,0.00,0.02
95.8,0.00,09424900,2018-07-22 20:15,0.00,0.02
93.1,0.00,09424900,2018-07-22 20:30,0.00,0.02
92.1,0.00,09424900,2018-07-22 20:45,0.00,0.02
90.6,0.00,09424900,2018-07-22 21:00,0.00,0.02
91.4,0.00,09424900,2018-07-22 21:15,0.00,0.02
89.8,0.00,09424900,2018-07-22 21:30,0.00,0.02
89.2,0.00,09424900,2018-07-22 21:45,0.00,0.02
88.4,0.00,09424900,2018-07-22 22:00,0.00,0.02
87.7,0.00,09424900,2018-07-22 22:15,0.00,0.02
86.7,0.00,09424900,2018-07-22 22:30,0.00,0.02
86.7,0.00,09424900,2018-07-22 22:45,0.00,0.02
85.9,0.00,09424900,2018-07-22 23:00,0.00,0.02
85.7,0.00,09424900,2018-07-22 23:15,0.00,0.02
85.2,0.00,09424900,2018-07-22 23:30,0.00,0.02
84.7,0.00,09424900,2018-07-22 23:45,0.00,0.02
